Firm_ID,Step,Revenue,Variable_Costs,Carbon_Costs,Abatement_Costs,Profit
CE_F22 ,2,288598249.54295796,418339620.0,4897489621.298656,0.0,-7510130642.228316
CE_F22 ,3,288598249.54295796,418339620.0,4881490810.88717,0.0,-7859341427.136618
CE_F22 ,4,288598249.54295796,418339620.0,4790382220.589092,0.0,-8225300330.452931
CE_F22 ,5,288598249.54295796,418339620.0,5019064630.265524,0.0,-8608795366.19114
CE_F22 ,6,288598249.54295796,418339620.0,5195717803.120482,0.0,-9010654092.120102
CE_F22 ,7,288598249.54295796,418339620.0,5443801516.908793,0.0,-9431745060.601185
CE_F22 ,8,288598249.54295796,418339620.0,5703719662.762819,0.0,-9872979457.56466
CE_F22 ,9,288598249.54295796,418339620.0,5934885239.081717,0.0,-10335312901.00524
CE_F22 ,10,288598249.54295796,418339620.0,6186342965.238779,0.0,-10819747382.358591
CE_F22 ,11,288598249.54295796,418339620.0,6455784252.147345,0.0,-11327333341.464193
CE_F116,0,167212458.11766312,239390460.0,4423817002.30013,-16653934600000.0,-6929320173.494987
CE_F116,1,167212458.11766312,239390460.0,4635920094.202564,0.0,-7238792940.448959
CE_F116,2,167212458.11766312,239390460.0,4857143258.279592,0.0,-7577568005.391151
CE_F116,3,167212458.11766312,239390460.0,4841245502.37525,0.0,-7932605666.573361
CE_F116,4,167212458.11766312,239390460.0,4978542177.597524,0.0,-8304667731.035794
CE_F116,5,167212458.11766312,239390460.0,5181833179.106151,0.0,-8694554967.166521
CE_F116,6,167212458.11766312,239390460.0,5429209185.985697,0.0,-9103108333.514362
CE_F116,7,167212458.11766312,239390460.0,5536308598.971819,0.0,-9531210449.718145
CE_F116,8,167212458.11766312,239390460.0,5800584711.21357,0.0,-9979787259.34333
CE_F116,9,167212458.11766312,239390460.0,6035755666.028192,0.0,-10449809855.298555
CE_F116,10,167212458.11766312,239390460.0,6291410891.860361,0.0,-10942296450.763552
CE_F116,11,167212458.11766312,239390460.0,6565350536.521224,0.0,-11458314486.073889
CE_F31 ,0,1129116119.5426612,1567831500.0,16681195577.360563,-109071031500000.0,-25624475734.564186
CE_F31 ,1,1129116119.5426612,1567831500.0,17480987511.960884,0.0,-26761049671.992638
CE_F31 ,2,1129116119.5426612,1567831500.0,18315169139.341194,0.0,-28005236205.373238
CE_F31 ,3,1129116119.5426612,1567831500.0,18255058591.28205,0.0,-29309141043.48926
CE_F31 ,4,1129116119.5426612,1567831500.0,17898795414.443058,0.0,-30675561670.11979
CE_F31 ,5,1129116119.5426612,1567831500.0,18753531681.92207,0.0,-32107438572.036514
CE_F31 ,6,1129116119.5426612,1567831500.0,19648707623.080524,0.0,-33607859761.97841
CE_F31 ,7,1129116119.5426612,1567831500.0,20335319621.50813,0.0,-35180066187.07988
CE_F31 ,8,1129116119.5426612,1567831500.0,21305919286.59463,0.0,-36827457839.53085
CE_F31 ,9,1129116119.5426612,1567831500.0,22169088098.633575,0.0,-38553600462.51153
CE_F31 ,10,1129116119.5426612,1567831500.0,23108029217.817047,0.0,-40362232789.2061
CE_F31 ,11,1129116119.5426612,1567831500.0,24114116066.743298,0.0,-42257274280.131516
CE_F7  ,0,126972720.21014461,171966960.0,1644924968.3390315,-11963408800000.0,-2520570483.7437735
CE_F7  ,1,126972720.21014461,171966960.0,1723792080.5072834,0.0,-2632414672.925965
CE_F7  ,2,126972720.21014461,171966960.0,1806050344.3495853,0.0,-2754848166.561553
CE_F7  ,3,126972720.21014461,171966960.0,1800212855.7533987,0.0,-2883164135.9617
CE_F7  ,4,126972720.21014461,171966960.0,1760134226.5093393,0.0,-3017638434.3052697
CE_F7  ,5,126972720.21014461,171966960.0,1844095402.7601826,0.0,-3158561024.841342
CE_F7  ,6,126972720.21014461,171966960.0,1932217336.042171,0.0,-3306236428.774335
CE_F7  ,7,126972720.21014461,171966960.0,1998318835.7551506,0.0,-3460984260.3237624
CE_F7  ,8,126972720.21014461,171966960.0,2093802118.994927,0.0,-3623139830.971045
